,cytoID,Hematoxylin_Mean_nuclei,Hematoxylin_Std_dev_nuclei,Hematoxylin_Min_nuclei,Hematoxylin_Max_nuclei,Hematoxylin_Median_nuclei,Eosin_Mean_nuclei,Eosin_Std_dev_nuclei,Eosin_Min_nuclei,Eosin_Max_nuclei,Hue_Mean_nuclei,Saturation_Mean_nuclei,Saturation_Std_dev_nuclei,Saturation_Min_nuclei,Saturation_Max_nuclei,Saturation_Median_nuclei,Eosin_Median_nuclei,Area_µm^2_nuclei,Length_µm_cyto,Circularity_cyto,Solidity_cyto,Max_diameter_µm_cyto,Min_diameter_µm_cyto,Perimeter_µm_cyto,Hematoxylin_Mean_cytoonly,Hematoxylin_Std_dev_cytoonly,Hematoxylin_Min_cytoonly,Hematoxylin_Max_cytoonly,Hematoxylin_Median_cytoonly,Eosin_Mean_cytoonly,Eosin_Std_dev_cytoonly,Eosin_Min_cytoonly,Eosin_Max_cytoonly,Hue_Mean_cytoonly,Saturation_Mean_cytoonly,Saturation_Std_dev_cytoonly,Saturation_Min_cytoonly,Saturation_Max_cytoonly,Saturation_Median_cytoonly,Eosin_Median_cytoonly,Area_µm^2_cytoonly
980,802,0.3644,0.0928,0.0745,0.768,0.3545,0.3001,0.1218,0.0674,1.5799,0.2777,0.6391,0.102,0.1842,1.0,0.6305,0.2745,65.1277,41.8924,0.6122,0.9776,11.3532,9.7202,41.89,0.2118,0.0977,0.0046,0.768,0.2205,0.18,0.1046,-0.0047,1.5456,0.2871,0.432,0.1611,0.0082,1.0,0.4655,0.1825,20.3768
981,889,0.4347,0.1524,0.1285,0.9506,0.4185,0.3557,0.2299,0.0056,1.5265,0.27,0.6664,0.1705,0.2353,1.0,0.6705,0.3085,45.348,42.1663,0.6021,0.9766,11.0855,10.0678,42.17,0.1633,0.0517,-0.0011,0.5672,0.1705,0.0484,0.0267,-0.005,0.3574,0.2513,0.2358,0.0752,0.0,0.7563,0.2445,0.0465,39.838
982,527,0.3487,0.1004,0.048,0.7424,0.3385,0.3311,0.182,0.0205,1.673,0.2818,0.6433,0.1294,0.2311,1.0,0.6325,0.2885,45.8653,44.9043,0.5292,0.9605,12.1593,9.6095,44.9,0.0997,0.1037,0.022,0.6315,0.0565,0.1074,0.1222,0.0121,1.6427,0.3081,0.2345,0.1824,0.0293,0.9921,0.1765,0.0685,39.0553
983,755,0.2607,0.0784,0.0682,0.9647,0.2585,-0.0356,0.0256,-0.1102,0.0551,0.1935,0.2838,0.0481,0.072,0.6686,0.2815,0.0,45.2006,42.9877,0.5767,0.9545,13.0691,8.6249,42.99,0.177,0.083,0.0003,1.0565,0.1645,0.0038,0.0362,-0.1102,0.1882,0.2204,0.2391,0.0699,0.008,0.6914,0.2425,0.0025,39.6291
984,404,0.5186,0.1619,-0.0034,1.1253,0.5055,0.4786,0.3111,-0.0077,1.6323,0.2696,0.7537,0.1402,0.0314,1.0,0.7615,0.3945,72.1338,42.4401,0.5891,0.9756,10.9292,10.1646,42.44,0.2122,0.2148,-0.0104,1.0198,0.1275,0.1609,0.2954,-0.0267,1.6323,0.2667,0.3192,0.2745,0.0,1.0,0.2295,0.0475,12.3013
985,603,0.6267,0.167,0.1369,1.1482,0.6135,0.5984,0.3642,-0.0126,1.5867,0.2628,0.819,0.128,0.2049,1.0,0.8235,0.4655,67.172,42.1663,0.5962,0.9757,10.8391,10.2601,42.17,0.2491,0.1411,0.0008,0.8873,0.2095,0.1462,0.1714,-0.018,1.5564,0.2617,0.4094,0.1931,0.0237,1.0,0.3735,0.0965,17.1885
986,945,0.3584,0.1304,0.0592,0.9646,0.3295,0.323,0.204,0.0235,1.5929,0.2797,0.6318,0.1314,0.2,1.0,0.6115,0.2685,63.3099,55.8566,0.3383,0.8115,13.1462,9.4723,55.86,0.2299,0.1516,0.0372,0.9521,0.2115,0.2131,0.2019,0.0088,1.5929,0.2893,0.4429,0.1982,0.0996,1.0,0.4475,0.1825,20.7314
987,338,0.379,0.0928,0.079,0.7871,0.3695,0.2994,0.1388,-0.0633,1.572,0.2726,0.6421,0.1278,0.121,1.0,0.6455,0.2865,68.3355,41.8925,0.6006,0.9765,10.7773,10.176,41.89,0.1796,0.069,0.0229,0.4758,0.1775,0.0093,0.0438,-0.0555,0.4026,0.2187,0.2309,0.1034,0.0166,0.7391,0.2255,0.0,15.5367
988,711,0.6818,0.167,0.0754,1.745,0.6835,0.6803,0.3794,0.011,1.5528,0.2609,0.8523,0.1232,0.1862,1.0,0.8745,0.5685,63.2718,43.2615,0.5579,0.9629,11.2695,10.2706,43.26,0.2264,0.1448,-0.0048,1.3702,0.2085,0.0821,0.1263,-0.0317,1.434,0.2483,0.3329,0.1782,0.0,1.0,0.3265,0.0435,19.8139
989,462,0.6856,0.1659,0.0864,1.0435,0.6965,0.6945,0.3903,0.0016,1.5626,0.2604,0.8537,0.1283,0.1784,1.0,0.8845,0.5865,70.527,41.3449,0.6107,0.9759,10.8422,10.1772,41.34,0.2077,0.1844,0.0005,1.015,0.1495,0.1107,0.2081,-0.0172,1.5626,0.2573,0.3096,0.2256,0.0,1.0,0.2635,0.0435,12.54
